epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,1.029666,0.734000,0.917371,0.946704,0.00099931,26.85
2,0.066197,0.879400,0.967743,0.977831,0.00099726,28.03
3,0.038478,0.887000,0.974743,0.979823,0.00099384,27.41
4,0.028472,0.932000,0.984600,0.988243,0.00098907,28.28
5,0.021895,0.934200,0.986057,0.988954,0.00098296,27.73
6,0.019929,0.895400,0.977343,0.982404,0.00097553,26.92
7,0.016285,0.941800,0.987029,0.990345,0.00096679,26.45
8,0.014100,0.949000,0.990086,0.991639,0.00095677,26.46
9,0.012135,0.954400,0.990486,0.992459,0.00094550,26.50
10,0.010851,0.959200,0.991943,0.993535,0.00093301,26.52
11,0.010662,0.946000,0.988143,0.991300,0.00091934,26.60
12,0.010186,0.940000,0.987829,0.990171,0.00090451,27.19
13,0.009705,0.961800,0.992057,0.993725,0.00088857,27.54
14,0.007922,0.962000,0.992514,0.993750,0.00087157,27.42
15,0.007394,0.943000,0.988229,0.990508,0.00085355,26.77
16,0.007136,0.964000,0.992886,0.994121,0.00083457,26.63
17,0.007332,0.961600,0.992886,0.993857,0.00081466,26.64
18,0.006257,0.961200,0.991886,0.993750,0.00079389,26.61
19,0.005001,0.968200,0.993829,0.994811,0.00077232,26.67
20,0.005497,0.972400,0.995086,0.995432,0.00075000,26.64
21,0.005481,0.967600,0.993914,0.994666,0.00072700,26.63
22,0.004763,0.974400,0.994629,0.995511,0.00070337,26.66
23,0.004068,0.965600,0.993543,0.994450,0.00067918,26.68
24,0.003458,0.965800,0.992743,0.994561,0.00065451,26.75
25,0.004379,0.959200,0.992029,0.993201,0.00062941,26.64
26,0.003073,0.973800,0.994771,0.995693,0.00060396,26.69
27,0.003411,0.974600,0.995086,0.995807,0.00057822,26.65
28,0.002610,0.971800,0.994571,0.995375,0.00055226,26.72
29,0.002311,0.980400,0.995571,0.996686,0.00052617,26.69
30,0.002681,0.973400,0.995143,0.995818,0.00050000,26.67
31,0.001950,0.976200,0.995200,0.996007,0.00047383,26.65
32,0.001705,0.983800,0.996943,0.997400,0.00044774,26.65
33,0.001482,0.979200,0.995857,0.996672,0.00042178,26.76
34,0.001237,0.975200,0.995400,0.995864,0.00039604,26.69
35,0.001066,0.981200,0.996143,0.996929,0.00037059,27.01
36,0.001125,0.977400,0.995629,0.996293,0.00034549,26.57
37,0.001179,0.976400,0.995657,0.996096,0.00032082,26.62
38,0.001252,0.986000,0.997400,0.997600,0.00029663,26.58
39,0.000746,0.983800,0.997314,0.997361,0.00027300,26.55
40,0.000329,0.986000,0.997514,0.997729,0.00025000,26.60
41,0.000229,0.986600,0.997657,0.997832,0.00022768,26.63
42,0.000452,0.986800,0.997486,0.997811,0.00020611,26.63
43,0.000210,0.988600,0.997714,0.998182,0.00018534,26.58
44,0.000212,0.986400,0.997429,0.997729,0.00016543,26.57
45,0.000207,0.987200,0.997743,0.998043,0.00014645,26.60
46,0.000230,0.984600,0.997314,0.997600,0.00012843,26.58
47,0.000167,0.986800,0.997743,0.997879,0.00011143,26.67
48,0.000165,0.988800,0.997914,0.998161,0.00009549,26.56
49,0.000080,0.986600,0.997486,0.997864,0.00008066,26.61
50,0.000042,0.988200,0.997857,0.998161,0.00006699,26.63
51,0.000037,0.989000,0.997971,0.998225,0.00005450,26.68
52,0.000051,0.988400,0.997914,0.998161,0.00004323,26.65
53,0.000047,0.988800,0.998029,0.998236,0.00003321,26.75
54,0.000038,0.989000,0.998114,0.998279,0.00002447,27.12
55,0.000020,0.989400,0.998171,0.998300,0.00001704,26.78
56,0.000020,0.988800,0.998029,0.998193,0.00001093,26.86
57,0.000018,0.988600,0.998086,0.998214,0.00000616,26.75
58,0.000033,0.988600,0.998086,0.998214,0.00000274,26.75
59,0.000020,0.988800,0.998114,0.998243,0.00000069,26.78
60,0.000017,0.988600,0.998086,0.998214,0.00000000,26.84
