epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,2.011383,0.359200,0.740057,0.812936,0.00099931,10.74
2,0.188209,0.765000,0.939086,0.953950,0.00099726,9.80
3,0.083471,0.821800,0.956686,0.965821,0.00099384,9.79
4,0.056691,0.892200,0.972257,0.980545,0.00098907,9.82
5,0.043844,0.842800,0.963657,0.970920,0.00098296,9.85
6,0.036441,0.896600,0.977343,0.982255,0.00097553,10.19
7,0.028809,0.875600,0.973800,0.978268,0.00096679,9.94
8,0.026929,0.922000,0.982200,0.986463,0.00095677,9.82
9,0.023693,0.921600,0.982086,0.986213,0.00094550,9.83
10,0.020177,0.919400,0.982600,0.986279,0.00093301,9.89
11,0.018389,0.917600,0.979629,0.985727,0.00091934,9.84
12,0.017697,0.940800,0.985343,0.989865,0.00090451,9.85
13,0.015297,0.941200,0.985943,0.990368,0.00088857,9.81
14,0.013729,0.936600,0.986600,0.989360,0.00087157,9.87
15,0.012994,0.940400,0.986914,0.990100,0.00085355,9.87
16,0.012244,0.929800,0.985114,0.987779,0.00083457,9.84
17,0.011351,0.946600,0.988943,0.991218,0.00081466,9.85
18,0.010686,0.948200,0.989229,0.991400,0.00079389,9.83
19,0.009527,0.947200,0.988429,0.991075,0.00077232,9.88
20,0.010019,0.923800,0.984286,0.987154,0.00075000,9.84
21,0.008493,0.938800,0.986800,0.989600,0.00072700,9.85
22,0.007200,0.957600,0.990971,0.992864,0.00070337,9.86
23,0.006885,0.966000,0.992057,0.994359,0.00067918,9.85
24,0.005581,0.923800,0.984543,0.986990,0.00065451,9.93
25,0.005664,0.960400,0.992229,0.993571,0.00062941,9.86
26,0.005480,0.956400,0.990114,0.992711,0.00060396,9.85
27,0.005008,0.958200,0.991286,0.992827,0.00057822,9.85
28,0.004566,0.941000,0.986800,0.989937,0.00055226,9.83
29,0.004165,0.966000,0.993314,0.994504,0.00052617,9.96
30,0.003746,0.966400,0.993600,0.994408,0.00050000,9.85
31,0.003763,0.967400,0.993686,0.994746,0.00047383,9.84
32,0.003443,0.952400,0.990429,0.992275,0.00044774,9.85
33,0.002900,0.968400,0.993429,0.994979,0.00042178,9.91
34,0.002315,0.959000,0.992229,0.993279,0.00039604,9.83
35,0.002599,0.971400,0.994457,0.995239,0.00037059,9.86
36,0.001790,0.969800,0.993829,0.995071,0.00034549,9.87
37,0.001398,0.972400,0.994000,0.995261,0.00032082,9.91
38,0.001298,0.973200,0.994486,0.995523,0.00029663,10.10
39,0.000788,0.976200,0.995571,0.996245,0.00027300,9.79
40,0.000883,0.972200,0.994057,0.995446,0.00025000,9.79
41,0.000805,0.975000,0.994600,0.995892,0.00022768,9.79
42,0.000671,0.972800,0.994714,0.995671,0.00020611,9.83
43,0.000809,0.976200,0.995400,0.995989,0.00018534,9.80
44,0.000523,0.972800,0.994600,0.995648,0.00016543,9.81
45,0.000474,0.975400,0.994971,0.996014,0.00014645,9.83
46,0.000250,0.975200,0.995000,0.996054,0.00012843,9.74
47,0.000264,0.977000,0.995657,0.996218,0.00011143,9.83
48,0.000201,0.976600,0.995800,0.996286,0.00009549,9.80
49,0.000228,0.978000,0.996029,0.996550,0.00008066,9.77
50,0.000167,0.977400,0.996000,0.996486,0.00006699,9.80
51,0.000166,0.977600,0.995971,0.996407,0.00005450,9.79
52,0.000149,0.978200,0.995914,0.996593,0.00004323,9.88
53,0.000177,0.978400,0.995771,0.996664,0.00003321,9.78
54,0.000158,0.977800,0.995543,0.996496,0.00002447,9.80
55,0.000159,0.978600,0.995914,0.996632,0.00001704,9.83
56,0.000115,0.979000,0.996086,0.996725,0.00001093,9.88
57,0.000137,0.979200,0.996029,0.996757,0.00000616,9.81
58,0.000131,0.979000,0.996057,0.996693,0.00000274,9.81
59,0.000112,0.979000,0.996057,0.996693,0.00000069,9.82
60,0.000086,0.978800,0.996057,0.996693,0.00000000,9.82
